area,ciudad,conglomerado,panelm,vivienda,hogar,p01,p02,p03,p04,p05a,p05b,p06,p07,p08,p09,p10a,p10b,p11,p12a,p12b,p15,p15aa,p15ab,cod_inf,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p42a,p43,p44a,p44b,p44c,p44d,p44e,p44f,p44g,p44h,p44i,p44j,p44k,p45,p46,p47a,p47b,p48,p49,p50,p51a,p51b,p51c,p52,p53,p54,p54a,p55,p56a,p56b,p57,p58,p61b1,p63,p64a,p64b,p65,p66,p67,p68a,p68b,p69,p70a,p70b,p71a,p71b,p72a,p72b,p73a,p73b,p74a,p74b,p75,p76,p77,p78,sd01,sd021,sd022,sd023,sd024,sd025,sd026,sd027,sd028,sd029,sd0210,sd0211,sd03,ced01a,estrato,fexp,nnivins,ingrl,ingpc,condact,empleo,desempleo,secemp,grupo1,rama1,prov,dominio,pobreza,epobreza,upm,id_vivienda,id_hogar,id_persona,periodo,mes
1,170150,170150,55,3,1,2,2,19,3,10,10,6,2, ,17,7,3, , , ,6,1, ,1,1, , , ,20,1, ,4, , , , , , , , , , , , ,8291,4211,2, ,3,2,2,2,2,2,2,2,2,2,2,2,0,1,1,3,2,1,1,20, , , , , , , , , , , ,5, , , , ,225,0,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"33,5417173911737",4,225.0,"366,666666666667",4,1, ,1,4,14,17,1,0,0,170150187501,1701501875010550302,17015018750105503102,1701501875010550310202,202502,2
1,170150,170150,69,2,1,3,2,19,3,10,10,6,1,1, ,9,1, ,2, ,6,1, ,1,2,12,2, , , , , , , , , ,11, ,9, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"168,196785632773",5,0.0,589,9, , , , , ,17,1,0,0,170150335501,1701503355010690211,17015033550106902111,1701503355010690210311,202511,11
2,170184,170184,68,1,1,2,2,22,2,10,10,1,2, ,8,7,3, , , ,6,2,210455,1,2,12,2, , , , , , , , , ,11, ,9, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1722,"40,4203831606562",4,0.0,240,9, , , , , ,17,6,0,0,170184905102,1701849051020680110,17018490510206801110,1701849051020680110210,202510,10
1,170150,170150,65,1,1,1,2,24,1,10,10,6,1,6, ,7,3, , , ,6,2,132250,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,9700,9111,10, ,3,1,2,2,2,2,2,2,2,2,2,2,1,8,1,1, , ,1,40, , , , , , , , , , , ,5, , , , ,200,0,1,50, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"263,112213804454",4,250.0,"83,3333333333333",4,1, ,3,9,20,17,1,1,0,170150259305,1701502593050650107,17015025930506501107,1701502593050650110107,202507,7
1,170150,170150,54,4,1,2,2,18,3,10,10,6,1,1, ,7,3, , , ,6,1, ,1,2,12,2, , , , , , , , , ,11, ,9, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"36,538420830888",4,0.0,195,9, , , , , ,17,1,0,0,170150252501,1701502525010540407,17015025250105404107,1701502525010540410207,202507,7
2,170750,170750,70,7,1,2,2,27,3,10,10,6,2, ,5,7,2, , , ,6,2,170150,2,1, , , ,40, ,1,4, , , , , , , , , , , , ,129,6112,4, ,6,2,2,2,2,2,2,2,2,2,2,2,5,11,1,5,3,2,1,40, , , , , , , , , , , ,5, , , , ,70,0,2, , , , ,2, ,2, ,2, ,2, ,1,55,2, , , , , , , , , , , , , , ,1,1722,"67,5740173622323",4,70.0,"98,3333333333333",4,1, ,2,6,1,17,6,0,0,170750901802,1707509018020700712,17075090180207007112,1707509018020700710212,202512,12
1,170150,170150,71,1,1,4,1,19,3,10,10,6,2, ,3,7,3, , , ,6,1, ,2,2,12,2, , , , , , , , , ,9,52, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2,2,1,1,1,2,2,2,2,2,2,2,8,1,2513,"75,320594401988",4,0.0,"182,5",7, ,1, , , ,17,1,0,0,170150394802,1701503948020710110,17015039480207101110,1701503948020710110410,202510,10
1,170150,170150,57,2,1,6,1,23,9,10,10,6,2, ,5,7,3, , , ,6,2,110950,2,1, , , ,50, ,1,4, , , , , , , , , , , , ,2813,8181,2, ,3,2,2,1,2,1,2,2,2,2,2,2,0,1,2, , , ,1,50, , , , , , , , , , , ,5, , , , ,500,0,1,70, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"72,012890919853",4,570.0,"337,666666666667",1,1, ,1,8,3,17,1,0,0,170150383403,1701503834030570205,17015038340305702105,1701503834030570210605,202505,5
1,170150,170150,54,6,1,1,2,22,1,1,10,6,1,6, ,7,1, , , ,6,2,80150,4,1, , , ,60, ,1,4, , , , , , , , , , , , ,5610,5120,2, ,3,1,2,2,1,1,1,2,2,2,1,1,1,1,1,15,1,1,1,60, , , , , , , , , , , ,1, , , , ,425,45,1,72, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"39,8702000263696",4,542.0,"136,5",1,1, ,1,5,9,17,1,0,0,170150168602,1701501686020540604,17015016860205406104,1701501686020540610104,202504,4
2,170850,170850,72,7,1,1,2,27,1,10,10,2,2, ,5,5,7,1, , ,2,2,80150,1,1, , , ,30,1, ,4, , , , , , , , , , , , ,8121,9111,6,2, , , , , , , , , , , , ,5,8,1,1,3,2,1,30, , , , , , , , , , , ,5,160,2, ,10, , , , , , , ,2, ,2, ,1,100,2, ,1,55,2, , , , , , , , , , , , , , ,1,1721,"90,043940615601",3,150.0,"101,666666666667",4,1, ,2,9,14,17,6,0,0,170850901701,1708509017010720711,17085090170107207111,1708509017010720710111,202511,11
