area,ciudad,conglomerado,panelm,vivienda,hogar,p01,p02,p03,p04,p05a,p05b,p06,p07,p08,p09,p10a,p10b,p11,p12a,p12b,p15,p15aa,p15ab,cod_inf,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p42a,p43,p44a,p44b,p44c,p44d,p44e,p44f,p44g,p44h,p44i,p44j,p44k,p45,p46,p47a,p47b,p48,p49,p50,p51a,p51b,p51c,p52,p53,p54,p54a,p55,p56a,p56b,p57,p58,p61b1,p63,p64a,p64b,p65,p66,p67,p68a,p68b,p69,p70a,p70b,p71a,p71b,p72a,p72b,p73a,p73b,p74a,p74b,p75,p76,p77,p78,sd01,sd021,sd022,sd023,sd024,sd025,sd026,sd027,sd028,sd029,sd0210,sd0211,sd03,ced01a,estrato,fexp,nnivins,ingrl,ingpc,condact,empleo,desempleo,secemp,grupo1,rama1,prov,dominio,pobreza,epobreza,upm,id_vivienda,id_hogar,id_persona,periodo,mes
1,170150,170150,40,4,1,3,1,33,3,1,10,6,2, ,3,6,6, , , ,6,2,170169,2,1, , , ,50, ,1,4, , , , , , , , , , , , ,6120,7422,2, ,3,2,2,2,1,1,1,2,2,2,1,1,8,1,2, , , ,1,50, , , , , , , , , , , ,1, , , , ,900,45,1,13, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"32,6553571993282",4,958.0,"758,25",1,1, ,1,7,10,17,1,0,0,170150066701,1701500667010400401,17015006670104004101,1701500667010400410301,202501,1
1,170150,170150,59,4,1,1,1,35,1,1,5,5,1,6, ,8,1, ,2, ,6,1, ,2,1, , , ,44, ,2,4, , , , , , , , , , , , ,6419,4211,2, ,2,1,2,2,1,1,1,1,2,1,1,1,12,1,2, , , ,1,40, , , , , , , , , , , ,1, , , , ,1000,200,1,200, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"55,366624257051",5,1400.0,"407,25",1,1, ,1,4,11,17,1,0,0,170150063401,1701500634010590403,17015006340105904103,1701500634010590410103,202503,3
1,170150,170150,54,1,1,2,1,32,2,10,10,5,2, ,2,10,2, ,1,50310402,6,1, ,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,9499,2634,6,2, , , , , , , , , , , , ,4,8,1,1,3,1,1,40, , , , , , , , , , , ,5,1500,2, ,0, , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"48,1908080132568",5,1500.0,1010,1,1, ,1,2,19,17,1,0,0,170150380905,1701503809050540104,17015038090505401104,1701503809050540110204,202504,4
1,170150,170150,55,3,1,2,2,31,2,5,10,1,2, ,2,9,3, ,1,20410302,6,2,100150,2,2,12,2, , , , , , , , , ,11, ,9, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"45,2648195720119",5,0.0,410,9, , , , , ,17,1,0,0,170150011201,1701500112010550311,17015001120105503111,1701500112010550310211,202511,11
1,170155,170155,64,6,1,1,1,33,1,1,6,1,2, ,2,8,3, ,1,20410304,6,2,170150,2,1, , , ,40, ,1,4, , , , , , , , , , , , ,6419,3312,2, ,2,2,2,2,1,1,1,1,2,2,1,1,5,1,2, , , ,1,40, , , , , , , , , , , ,1, , , , ,1700,200,1,60, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1711,"30,3442039501197",5,1960.0,"653,333333333333",1,1, ,1,3,11,17,6,0,0,170155041102,1701550411020640603,17015504110206406103,1701550411020640610103,202503,3
1,170150,170150,60,8,1,2,2,31,3,10,10,6,2, ,3,6,6, , , ,6,1, ,2,2,12,2, , , , , , , , , ,8,8, , , ,1,5,8,8220,1212,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2511,"55,3567665674582",4,0.0,",75",7, ,1, , , ,17,1,1,1,170150376302,1701503763020600809,17015037630206008109,1701503763020600810209,202509,9
1,170150,170150,66,7,1,1,1,33,1,1,5,6,2, ,5,9,5, ,1,30710503,6,1, ,1,1, , , ,40, ,4,4, , , , , , , , , , , , ,4711,2144,2, ,2,1,2,2,1,1,1,1,2,1,1,1,10,1,2, , , ,1,45, , , , , , , , , , , ,1, , , , ,1000,100,1,182, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"36,0958205813713",5,1282.0,1282,1,1, ,1,2,7,17,1,0,0,170150048503,1701500485030660705,17015004850306607105,1701500485030660710105,202505,5
1,170150,170150,70,4,1,4,2,30,7,10,10,6,2, ,2,8,3, ,1,20410304,6,1, ,1,2,12,2, , , , , , , , , ,8,1, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2,2,1,1,1,2,2,2,2,2,2,2,8,1,2512,"29,7935477579733",5,0.0,1037,7, ,1, , , ,17,1,0,0,170150077301,1701500773010700409,17015007730107004109,1701500773010700410409,202509,9
1,170184,170184,62,6,1,2,2,35,2,1,10,1,2, ,5,9,5, ,1,30410302,6,2,71350,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,1702,4321,2, ,2,2,2,2,1,2,1,2,2,2,1,1,12,1,2, , , ,1,40, , , , , , , , , , , ,1, , , , ,900,120,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1713,"74,3957833352876",5,1020.0,440,1,1, ,1,4,3,17,6,0,0,170184108502,1701841085020620604,17018410850206206104,1701841085020620610204,202504,4
1,170353,170353,67,9,1,1,1,34,1,10,10,5,2, ,3,6,6, , , ,1,1, ,2,1, , , ,40, ,1,4, , , , , , , , , , , , ,4210,8189,2, ,3,1,2,2,2,2,2,2,2,2,2,2,5,4,1,4,3,1,1,40, , , , , , , , , , , ,5, , , , ,432,0,1,50, , , ,2, ,2, ,1,150,2, ,2, ,2, , , , , , , , , , , , , , ,1,1711,"35,4452275083806",4,482.0,213,1,1, ,1,8,6,17,6,0,0,170353018604,1703530186040670906,17035301860406709106,1703530186040670910106,202506,6
